nfl_id,player_name,position,oop_score
52475,Julian Okwara,OLB,40.71706214320872
55999,Jay Ward,SS,34.32800444935171
42368,Shaq Thompson,MLB,31.12434396247301
54686,Tariq Castro-Fields,CB,27.980906163483706
52410,Chase Young,OLB,24.19744949475472
55043,Jake Hansen,OLB,24.071609622550454
47939,Justin Hollins,OLB,21.56554853823267
44865,Teez Tabor,FS,20.724589327075464
55047,Tristin McCollum,SS,18.728115164897922
56111,D.J. Ivey,CB,18.34650958045221
52685,Tyler Hall,CB,16.963000868626665
42390,Eric Rowe,SS,16.58576390051224
56010,Jammie Robinson,SS,16.28066699619003
46535,Craig James,CB,15.934470035410932
42406,Frank Clark,OLB,15.847604011028817
54584,Jalyn Armour-Davis,CB,14.96858578822601
56405,Ronnie Hickman Jr.,FS,14.151846909097312
47878,Oshane Ximines,OLB,13.972830996235624
53525,Ronnie Perkins,OLB,13.861476753424931
55109,Tayler Hawkins,SS,13.759737527196721
